cell line	organism	organism part	disease	age	developmental stage	sex	ancestry category	synonyms
CHSA0108	Homo sapiens	bone	chondrosarcoma	not available	not available	not available	not available	not available
CHSA8926	Homo sapiens	bone	chondrosarcoma	not available	not available	not available	not available	not available
COLO-824	Homo sapiens	breast	breast carcinoma	not available	not available	female	not available	not available
CP66-MEL	Homo sapiens	skin	melanoma	not available	not available	male	not available	not available
ES3	Homo sapiens	bone	Ewing sarcoma	not available	not available	male	not available	not available
ES4	Homo sapiens	bone	Ewing sarcoma	not available	not available	male	not available	not available
MCC13	Homo sapiens	skin	Merkel cell carcinoma	not available	not available	female	not available	not available
MDA-MB-330	Homo sapiens	breast	invasive lobular carcinoma; breast carcinoma	43 year	not available	female	not available	not available
MFM-223	Homo sapiens	breast	ductal carcinoma; breast ductal adenocarcinoma; breast carcinoma	not available	not available	female; not available	not available	not available
MRK-nu-1	Homo sapiens	breast	breast carcinoma	not available	not available	female	not available	not available
NCI-H510A	Homo sapiens	lung	small cell lung carcinoma	56 year	not available	male	not available	not available
NCI-H64	Homo sapiens	lung	small cell lung carcinoma	not available	not available	female	not available	not available
NCI-H720	Homo sapiens	lung	atypical carcinoid tumor	not available	not available	male	not available	not available
NCI-H740	Homo sapiens	lung	small cell lung carcinoma	not available	not available	male	not available	not available
EW-13	Homo sapiens	bone	Ewing sarcoma	not available	not available	not available	not available	not available
EW-16	Homo sapiens	bone	Ewing sarcoma	not available	not available	not available	not available	not available
EW-18	Homo sapiens	bone	Ewing sarcoma	not available	not available	not available	not available	not available
EW-22	Homo sapiens	bone	Ewing sarcoma	not available	not available	not available	not available	not available
EW-24	Homo sapiens	bone	Ewing sarcoma	not available	not available	not available	not available	not available
EW-7	Homo sapiens	bone	Ewing sarcoma	not available	not available	female	not available	not available
GAK	Homo sapiens	skin	melanoma	not available	not available	female	not available	not available
G-MEL	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
H-EMC-SS	Homo sapiens	bone	chondrosarcoma	not available	not available	female	not available	not available
HMV-II	Homo sapiens	skin	melanoma	not available	not available	female	not available	not available
IST-MEL1	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
K2	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
LB2518-MEL	Homo sapiens	skin	melanoma	not available	not available	female	not available	not available
LB373-MEL-D	Homo sapiens	skin	melanoma	not available	not available	female	not available	not available
ASH-3	Homo sapiens	thyroid gland	thyroid carcinoma	not available	not available	female	not available	not available
BB65-RCC	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	male	not available	not available
CGTH-W-1	Homo sapiens	thyroid gland	follicular thyroid carcinoma	not available	not available	female	not available	not available
HA7-RCC	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	male	not available	not available
HTC-C3	Homo sapiens	thyroid gland	thyroid carcinoma	not available	not available	female	not available	not available
IHH-4	Homo sapiens	thyroid gland	thyroid carcinoma	not available	not available	male	not available	not available
IM-9	Homo sapiens	hematopoietic system	multiple myeloma	not available	not available	female	not available	not available
K5	Homo sapiens	thyroid gland	thyroid carcinoma	not available	not available	not available	not available	not available
KMH-2	Homo sapiens	thyroid gland	thyroid carcinoma	not available	not available	not available	not available	not available
LB2241-RCC	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	male	not available	not available
LB996-RCC	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	male	not available	not available
MCC26	Homo sapiens	skin; skin 	Merkel cell carcinoma	82	adult	female	not available
MC-CAR	Homo sapiens	hematopoietic system	plasmacytoma	not available	not available	male	not available	not available
MMAC-SF	Homo sapiens	skin	melanoma	not available	not available	female	not available	not available
MZ2-MEL	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
MZ7-mel	Homo sapiens	skin	melanoma	not available	not available	female	not available	not available
NCC021	Homo sapiens	kidney	renal cell carcinoma	not available	not available	not available	not available	not available
NCI-H748	Homo sapiens	lung	small cell lung carcinoma	not available	not available	male	not available	not available
NCI-H820	Homo sapiens	lung	papillary lung adenocarcinoma; lung adenocarcinoma	not available	not available	male	not available	not available
NCI-H835	Homo sapiens	lung	carcinoid tumor	not available	not available	female	not available	not available
NCI-H847	Homo sapiens	lung	small cell lung carcinoma	63 year	not available	male	not available	not available
OCUB-M	Homo sapiens	breast	breast carcinoma	not available	not available	female	not available	not available
ES5	Homo sapiens	bone	Ewing sarcoma	not available	not available	male	not available	not available
ES6	Homo sapiens	bone	Ewing sarcoma	not available	not available	male	not available	not available
ES7	Homo sapiens	bone	Ewing sarcoma	not available	not available	male	not available	not available
ES8	Homo sapiens	bone	Ewing sarcoma	not available	not available	male	not available	not available
EVSA-T	Homo sapiens	breast	invasive ductal carcinoma; breast carcinoma	not available	not available	female; not available	not available	not available
EW-1	Homo sapiens	bone	Ewing sarcoma	not available	not available	male	not available	not available
EW-11	Homo sapiens	bone	Ewing sarcoma	not available	not available	female	not available	not available
SBC-1	Homo sapiens	lung	small cell lung carcinoma	not available	not available	male	not available	not available
SBC-3	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
SW13	Homo sapiens	adrenal gland	adrenocortical carcinoma	not available	not available	female	not available	not available
U031	Homo sapiens	kidney	renal cell carcinoma	not available	not available	not available	not available	not available
U-CH2	Homo sapiens	bone	chordoma	not available	not available	female	not available	not available
UMC-11	Homo sapiens	lung	carcinoid tumor; lung carcinoid tumor	not available	not available	not available	not available	not available
VMRC-LCD	Homo sapiens	lung	lung adenocarcinoma	not available	not available	male	not available	not available
WM1552C	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
WM278	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
WM793B	Homo sapiens	skin	melanoma	not available	not available	male	not available	not available
RCC-AB	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	male	not available	not available
RCC-JF	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	female	not available	not available
RCC-JW	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	male	not available	not available
RCC-MF	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	male	not available	not available
RO82-W-1	Homo sapiens	thyroid gland	follicular thyroid carcinoma	not available	not available	female	not available	not available
LB1047-RCC	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	female	not available	not available
NCC010	Homo sapiens	kidney	renal cell carcinoma	not available	not available	not available	not available	not available
CP50-MEL-B	Homo sapiens	skin	melanoma	not available	not available	male	not available	not available
